exit_reason,exit_day,return,stock_id,stock_name,buy_date
到期120天,120,-0.16816114469574736,000001.SZ,平安银行,2016-01-07
止损-20%,88,-0.22241231822070145,000001.SZ,平安银行,2018-02-09
止盈30%,18,0.2519025875190258,000002.SZ,万科A,2009-01-13
止损-20%,78,-0.2162417374881964,000002.SZ,万科A,2009-12-18
止损-20%,61,-0.2218844984802431,000002.SZ,万科A,2018-02-27
到期120天,120,0.10090645778850059,000002.SZ,万科A,2020-03-18
止损-20%,30,-0.21108490566037735,000002.SZ,万科A,2024-11-28
到期120天,120,0.1907433380084152,000006.SZ,深振业A,2010-09-20
止盈30%,21,0.26654956269015584,000006.SZ,深振业A,2011-05-25
止盈30%,72,0.2541189220455342,000006.SZ,深振业A,2014-05-07
止盈30%,40,0.2700170357751277,000006.SZ,深振业A,2015-01-19
止损-20%,13,-0.20520231213872836,000006.SZ,深振业A,2016-01-04
止盈30%,92,0.3063457330415755,000006.SZ,深振业A,2020-02-03
到期120天,120,-0.09198559146611116,000006.SZ,深振业A,2023-03-21
止盈30%,14,0.2573919636087946,000007.SZ,全新好,2012-07-17
止损-20%,14,-0.23590225563909772,000007.SZ,全新好,2015-12-16
止盈30%,53,0.2861961598339388,000007.SZ,全新好,2016-07-18
止盈30%,42,0.27744807121661724,000007.SZ,全新好,2021-05-07
止盈30%,31,0.28100263852242746,000007.SZ,全新好,2021-09-13
到期120天,120,-0.07203389830508472,000007.SZ,全新好,2023-09-07
到期120天,120,0.1537878787878789,000007.SZ,全新好,2025-01-03
到期120天,120,0.054237288135593184,000008.SZ,神州高铁,2010-06-18
到期120天,120,0.2411458333333333,000008.SZ,神州高铁,2012-07-31
止损-20%,18,-0.42902711323763953,000008.SZ,神州高铁,2013-05-02
到期120天,120,-0.06389776357827488,000008.SZ,神州高铁,2013-11-12
止盈30%,28,0.33560864618885117,000008.SZ,神州高铁,2014-05-20
止损-20%,14,-0.22488226059654637,000008.SZ,神州高铁,2015-08-05
止损-20%,96,-0.21313240043057052,000008.SZ,神州高铁,2016-12-12
到期120天,120,-0.0005532442399800347,000008.SZ,神州高铁,2020-02-03
到期120天,120,0.07936507936507935,000008.SZ,神州高铁,2022-02-14
止损-20%,57,-0.20168067226890757,000008.SZ,神州高铁,2024-04-12
到期120天,120,0.03333333333333328,000008.SZ,神州高铁,2025-01-15
止盈30%,46,0.26142857142857134,000009.SZ,中国宝安,2009-08-17
止损-20%,35,-0.202226345083488,000009.SZ,中国宝安,2010-05-06
止盈30%,18,0.3026315789473685,000009.SZ,中国宝安,2011-01-11
到期120天,120,-0.07715047160578004,000009.SZ,中国宝安,2013-07-08
止损-20%,7,-0.21720297029702976,000009.SZ,中国宝安,2016-01-04
止盈30%,52,0.35125991986852084,000009.SZ,中国宝安,2016-05-06
止盈30%,116,0.28436546427125753,000009.SZ,中国宝安,2020-08-26
止盈30%,12,0.26983471074380183,000009.SZ,中国宝安,2022-07-22
到期120天,120,0.019495412844036757,000009.SZ,中国宝安,2025-01-03
止盈30%,35,0.2685123415610407,000010.SZ,美丽生态,2012-10-29
到期120天,120,0.09230769230769226,000010.SZ,美丽生态,2019-05-06
止盈30%,5,0.2660668380462725,000010.SZ,美丽生态,2020-09-28
到期120天,120,-0.01758793969849242,000010.SZ,美丽生态,2021-05-17
到期120天,120,0.008746355685131138,000010.SZ,美丽生态,2022-08-02
止损-20%,37,-0.20116618075801745,000010.SZ,美丽生态,2023-11-27
止损-20%,86,-0.24299909665763322,000011.SZ,深物业A,2009-12-16
到期120天,120,-0.04578313253012054,000011.SZ,深物业A,2010-10-08
止损-20%,35,-0.21696428571428575,000011.SZ,深物业A,2011-07-25
止盈30%,5,0.3233137829912024,000011.SZ,深物业A,2012-04-09
止盈30%,35,0.2790492957746479,000011.SZ,深物业A,2012-11-27
到期120天,120,0.14383561643835624,000011.SZ,深物业A,2013-07-08
止损-20%,36,-0.31942504576957337,000011.SZ,深物业A,2014-04-28
止盈30%,40,0.2656434474616292,000011.SZ,深物业A,2015-01-19
止损-20%,5,-0.20122417750573843,000011.SZ,深物业A,2016-01-04
止盈30%,101,0.2759904765497841,000011.SZ,深物业A,2016-05-09
止盈30%,117,0.27459996457604463,000011.SZ,深物业A,2016-12-06
止损-20%,79,-0.20317357167129563,000011.SZ,深物业A,2019-09-27
到期120天,120,0.06399654247151562,000011.SZ,深物业A,2022-05-06
到期120天,120,-0.12950894965694937,000011.SZ,深物业A,2023-01-12
到期120天,120,-0.1461286804798255,000011.SZ,深物业A,2023-10-18
到期120天,120,-0.0343249427917621,000011.SZ,深物业A,2024-12-31
止盈30%,43,0.2775948548303021,000012.SZ,南玻A,2009-06-08
止盈30%,63,0.28510701657375437,000012.SZ,南玻A,2010-05-11
止损-20%,120,-0.23059514664713918,000012.SZ,南玻A,2011-04-25
止损-20%,39,-0.20672792124763487,000012.SZ,南玻A,2012-03-23
到期120天,120,-0.19572553430821152,000012.SZ,南玻A,2013-07-17
止损-20%,115,-0.267136341662459,000012.SZ,南玻A,2013-11-14
止损-20%,91,-0.21531914893617016,000012.SZ,南玻A,2016-12-22
到期120天,120,0.00033484713364402243,000012.SZ,南玻A,2019-04-26
止盈30%,15,0.2801932367149759,000012.SZ,南玻A,2020-02-03
止盈30%,38,0.27445652173913054,000012.SZ,南玻A,2020-09-07
止盈30%,52,0.272,000012.SZ,南玻A,2021-02-01
止损-20%,108,-0.22233009708737875,000012.SZ,南玻A,2021-09-17
到期120天,120,0.15624999999999994,000012.SZ,南玻A,2022-07-28
到期120天,120,-0.023715415019762737,000012.SZ,南玻A,2025-01-08
止盈30%,56,0.31499999999999995,000014.SZ,沙河股份,2009-08-31
止损-20%,83,-0.23043095866314864,000014.SZ,沙河股份,2010-09-09
止损-20%,60,-0.2010064260616693,000014.SZ,沙河股份,2011-04-27
止盈30%,9,0.323639774859287,000014.SZ,沙河股份,2012-03-28
到期120天,120,0.07942022252266458,000014.SZ,沙河股份,2013-03-11
到期120天,120,-0.0522167487684731,000014.SZ,沙河股份,2013-11-06
止盈30%,72,0.31087502204526946,000014.SZ,沙河股份,2014-05-09
止盈30%,56,0.30177514792899407,000014.SZ,沙河股份,2014-12-23
止损-20%,5,-0.210910862152947,000014.SZ,沙河股份,2016-01-04
到期120天,120,0.21928817451205512,000014.SZ,沙河股份,2022-06-13
到期120天,120,-0.03481012658227853,000014.SZ,沙河股份,2023-09-12
止损-20%,108,-0.009223181616270018,000014.SZ,沙河股份,2024-02-07
止盈30%,19,0.26012461059190045,000016.SZ,深康佳A,2009-01-08
止盈30%,48,0.2796803652968035,000016.SZ,深康佳A,2009-08-17
到期120天,120,0.0,000016.SZ,深康佳A,2011-11-30
到期120天,120,-0.06784660766961649,000016.SZ,深康佳A,2012-07-09
到期120天,120,0.06761175375416668,000016.SZ,深康佳A,2013-03-04
止盈30%,64,0.2829979690851914,000016.SZ,深康佳A,2014-04-28
到期120天,120,0.05887230514096173,000016.SZ,深康佳A,2017-12-05
止盈30%,82,0.3135010425210638,000016.SZ,深康佳A,2019-09-26
到期120天,120,0.0057402396625923415,000016.SZ,深康佳A,2021-02-02
止损-20%,57,-0.21588946459412778,000016.SZ,深康佳A,2022-01-25
到期120天,120,-0.11299435028248582,000016.SZ,深康佳A,2022-07-29
到期120天,120,-0.06429780033840946,000017.SZ,深中华A,2010-10-26
到期120天,120,-0.1499051233396583,000017.SZ,深中华A,2011-05-23
到期120天,120,0.0062893081761006345,000017.SZ,深中华A,2012-03-26
止盈30%,48,0.2744107744107744,000017.SZ,深中华A,2012-07-31
止盈30%,93,0.2854381443298969,000017.SZ,深中华A,2014-11-11
到期120天,120,0.07323943661971825,000017.SZ,深中华A,2016-05-09
止损-20%,70,-0.2057026476578412,000017.SZ,深中华A,2019-04-25
止损-20%,75,-0.26078028747433263,000017.SZ,深中华A,2019-10-10
到期120天,120,0.05220883534136542,000017.SZ,深中华A,2020-09-10
到期120天,120,-0.04324324324324328,000017.SZ,深中华A,2021-08-19
